"CODALM";"CODPDT";"LOCALIZ";"SISVAL";"PVP1";"PRESTA";"PREULT";"PREMED";"CANEXI";"CODPRV";"STOCKMIN";"STOCKMAX"
"01";"4N2927";"E";"M";3,74000;0,00000;0,00000;0,55000;0,00;"3";0,00;0,00
"01";"4N7777";"E";"M";1,54000;0,00000;1,28000;1,28000;0,00;"3";0,00;0,00
"01";"4N7977";"E";"M";254,05383;0,00000;0,00601;0,00601;0,00;"2";0,00;0,00
"01";"4N7978";"E";"M";254,05383;0,00000;0,00601;0,00601;0,00;"2";0,00;0,00
"01";"967.166";"E";"M";29,75611;0,00000;19,90552;19,90552;0,00;"22";0,00;0,00
"01";"1P2298";"E";"M";3,75000;0,00000;2,05546;2,05546;0,00;"64";0,00;0,00
"01";"9L9424";"E";"M";2,38000;0,00000;1,63000;0,00000;0,00;"3";0,00;0,00
"01";"1P4001";"E";"M";3,22744;0,00000;2,15763;2,15763;0,00;"64";0,00;0,00
"01";"2.62X11.91-V";"01010303";"M";1,65278;0,00000;1,67300;1,35337;20,00;"22";10,00;20,00
"01";"3.53X51.94";"01011001";"M";1,73091;0,00000;0,00000;0,54700;8,00;"22";0,00;0,00
"01";"2X16";"W0101";"M";0,90000;0,00000;0,50000;0,32694;49,00;"22";10,00;15,00
"01";"2X17";"W0101";"M";0,90000;0,00000;0,00000;0,56458;47,00;"22";8,00;15,00
"01";"2X18";"W0101";"M";1,29000;0,00000;0,00000;0,54600;9,00;"22";10,00;15,00
"01";"2.62X15.88-V";"01010303";"M";2,09152;0,00000;1,69100;1,42035;30,00;"22";10,00;20,00
"01";"4X70-V";"01010301";"M";4,77805;0,00000;3,30000;3,22079;12,00;"22";4,00;8,00
"01";"3.53X39.69";"01011003";"M";1,29218;0,00000;0,00000;0,51552;9,00;"22";20,00;30,00
"01";"571.216";"E";"M";10,78817;0,00000;6,76740;6,76740;0,00;"22";0,00;0,00
"01";"6K4384";"E";"M";197,88925;0,00000;152,22435;0,91350;0,00;"3";0,00;0,00
"01";"5J0964";"E";"M";42,38938;0,00000;0,00000;0,00000;0,00;"3";0,00;0,00
